"LSOA11CD","July17_2022","July18_2022","July19_2022","July20_2022","July21_2022","July22_2022"
"E01000406",22.68,27.51,28.49,21.83,19.96,18.54
"E01000407",22.68,27.51,28.49,21.83,19.96,18.54
"E01000408",22.68,27.51,28.49,21.83,19.96,18.54
"E01000409",22.68,27.51,28.49,21.83,19.96,18.54
"E01000410",22.68,27.51,28.49,21.83,19.96,18.54
"E01000411",22.68,27.51,28.49,21.83,19.96,18.54
"E01000412",22.68,27.51,28.49,21.83,19.96,18.54
"E01000413",22.68,27.51,28.49,21.83,19.96,18.54
"E01000414",22.68,27.51,28.49,21.83,19.96,18.54
"E01000415",22.68,27.51,28.49,21.83,19.96,18.54
"E01000416",22.68,27.51,28.49,21.83,19.96,18.54
"E01000417",22.68,27.51,28.49,21.83,19.96,18.54
"E01000418",22.68,27.51,28.49,21.83,19.96,18.54
"E01000419",22.68,27.51,28.49,21.83,19.96,18.54
"E01000420",22.68,27.51,28.49,21.83,19.96,18.54
"E01000421",22.68,27.51,28.49,21.83,19.96,18.54
"E01000422",22.68,27.51,28.49,21.83,19.96,18.54
"E01000423",22.68,27.51,28.49,21.83,19.96,18.54
"E01000424",22.68,27.51,28.49,21.83,19.96,18.54
"E01000425",22.68,27.51,28.49,21.83,19.96,18.54
"E01000426",22.68,27.51,28.49,21.83,19.96,18.54
"E01000427",22.68,27.51,28.49,21.83,19.96,18.54
"E01000428",22.68,27.51,28.49,21.83,19.96,18.54
"E01000429",22.68,27.51,28.49,21.83,19.96,18.54
"E01000430",22.33,27.38,28.73,22.07,19.7,18.29
"E01000431",22.68,27.51,28.49,21.83,19.96,18.54
"E01000432",22.68,27.51,28.49,21.83,19.96,18.54
"E01000433",22.68,27.51,28.49,21.83,19.96,18.54
"E01000434",22.41,27.41,28.67,22.02,19.76,18.35
"E01000435",22.68,27.51,28.49,21.83,19.96,18.54
"E01000436",22.68,27.51,28.49,21.83,19.96,18.54
"E01000437",22.68,27.51,28.49,21.83,19.96,18.54
"E01000438",22.68,27.51,28.49,21.83,19.96,18.54
"E01000439",22.68,27.51,28.49,21.83,19.96,18.54
"E01000440",22.68,27.51,28.49,21.83,19.96,18.54
"E01000441",22.68,27.51,28.49,21.83,19.96,18.54
"E01000442",22.68,27.51,28.49,21.83,19.96,18.54
"E01000443",22.68,27.51,28.49,21.83,19.96,18.54
"E01000444",22.68,27.51,28.49,21.83,19.96,18.54
"E01000445",22.68,27.51,28.49,21.83,19.96,18.54
"E01000446",22.68,27.51,28.49,21.83,19.96,18.54
"E01000447",22.68,27.51,28.49,21.83,19.96,18.54
"E01000448",22.68,27.51,28.49,21.83,19.96,18.54
"E01000449",22.68,27.51,28.49,21.83,19.96,18.54
"E01000450",22.68,27.51,28.49,21.83,19.96,18.54
"E01000451",22.68,27.51,28.49,21.83,19.96,18.54
"E01000452",22.68,27.51,28.49,21.83,19.96,18.54
"E01000453",22.68,27.51,28.49,21.83,19.96,18.54
"E01000454",22.68,27.51,28.49,21.83,19.96,18.54
"E01000455",22.68,27.51,28.49,21.83,19.96,18.54
"E01000456",22.68,27.51,28.49,21.83,19.96,18.54
"E01000457",22.68,27.51,28.49,21.83,19.96,18.54
"E01000458",22.68,27.51,28.49,21.83,19.96,18.54
"E01000459",22.68,27.51,28.49,21.83,19.96,18.54
"E01000460",22.68,27.51,28.49,21.83,19.96,18.54
"E01000461",22.68,27.51,28.49,21.83,19.96,18.54
